 Activity_Type , Date , Title , Distance , Time , Avg_HR , Avg_Pace 
 track_running , 2018-05-01 , Davidson Running , 1.07 , 8:12.6 , 156 , 7:41 
 track_running , 2018-05-01 , Davidson Running , 0.26 , 2:27.5 , 133 , 9:36 
 running , 2018-04-30 , Charlotte Running , 4 , 2745 , 136 , 686 
 running , 2018-04-29 , Iredell County Running , 0.25 , 172 , 137 , 699 
 running , 2018-04-29 , Iredell County Running , 8 , 4255 , 165 , 532 
 running , 2018-04-29 , Iredell County Running , 0.5 , 274 , 164 , 549 
 track_running , 2018-04-28 , Davidson Running , 0.24 , 1:38.6 , 137 , 6:43 
 track_running , 2018-04-28 , Davidson Running , 0.24 , 1:42.6 , 139 , 6:59 
 track_running , 2018-04-28 , Davidson Running , 0.25 , 1:39.8 , 142 , 6:45 
 track_running , 2018-04-28 , Davidson Running , 0.25 , 1:41.4 , 141 , 6:48 
 track_running , 2018-04-28 , Davidson Running , 0.5 , 5:14.7 , 143 , 10:24 
 running , 2018-04-26 , Charlotte Running , 4 , 2683 , 149 , 670 
 running , 2018-04-24 , Charlotte Running , 4 , 2231 , 161 , 558 
 running , 2018-04-22 , Iredell County Running , 8 , 5066 , 144 , 633 
 running , 2018-04-21 , Iredell County Running , 6.21 , 3238 , 162 , 521 
 running , 2018-04-20 , Charlotte Running , 4.04 , 2410 , 141 , 597 
 running , 2018-04-19 , Charlotte Running , 4 , 2283 , 149 , 570 
 running , 2018-04-19 , Charlotte Running , 0.5 , 379 , 145 , 761 
 running , 2018-04-19 , Charlotte Running , 4.01 , 2331 , 158 , 582 
 running , 2018-04-18 , Charlotte Running , 3.39 , 2255 , 143 , 666 
 running , 2018-04-17 , Charlotte Running , 0.89 , 509 , 148 , 570 
 running , 2018-04-17 , Charlotte Running , 4 , 2177 , 166 , 544 
 running , 2018-04-15 , Iredell County Running , 8.01 , 5247 , -- , 655 
 running , 2018-04-14 , Iredell County Running , 6.68 , 4346 , 161 , 650 
 running , 2018-04-11 , Iredell County Running , 0.36 , 302 , 134 , 840 
 running , 2018-04-11 , Iredell County Running , 5 , 3233 , 149 , 647 
 trail_running , 2018-04-08 , Gastonia crowders mountain (hike) , 11.4 , 9180 , -- , 805 
 running , 2018-04-07 , Iredell County Running , 1 , 648 , 143 , 646 
 running , 2018-04-07 , Iredell County Running , 3.11 , 1575 , 171 , 507 
 running , 2018-04-07 , Iredell County Running , 1 , 646 , 158 , 644 
 running , 2018-04-05 , Charlotte Running , 7 , 4016 , 156 , 574 
 running , 2018-04-04 , Charlotte Running , 0.62 , 570 , 141 , 928 
 running , 2018-04-04 , Charlotte Running , 4 , 2528 , -- , 632 
 running , 2018-04-03 , Charlotte Running , 0.48 , 382 , 133 , 801 
 running , 2018-04-03 , Charlotte Running , 5 , 2830 , 156 , 566 
